user_id,FOLLOWERS_COUNT,FRIENDS_COUNT,STATUSES_COUNT,lat,lon,k_0_d_0,k_0_d_1,k_0_d_2,k_0_d_3,k_0_d_4,k_0_d_5,k_0_d_6,k_0_d_7,k_0_d_8,k_0_d_9,k_0_d_10,k_0_d_11,k_0_d_12,k_0_d_13,k_0_d_14,k_0_d_15,k_0_d_16,k_0_d_17,k_0_d_18,k_0_d_19,k_0_d_20,k_0_d_21,k_0_d_22,k_0_d_23,k_0_d_24,k_0_d_25,k_0_d_26,k_0_d_27,k_0_d_28,k_0_d_29,k_0_d_30,k_0_d_31,k_1_d_0,k_1_d_1,k_1_d_2,k_1_d_3,k_1_d_4,k_1_d_5,k_1_d_6,k_1_d_7,k_1_d_8,k_1_d_9,k_1_d_10,k_1_d_11,k_1_d_12,k_1_d_13,k_1_d_14,k_1_d_15,k_1_d_16,k_1_d_17,k_1_d_18,k_1_d_19,k_1_d_20,k_1_d_21,k_1_d_22,k_1_d_23,k_1_d_24,k_1_d_25,k_1_d_26,k_1_d_27,k_1_d_28,k_1_d_29,k_1_d_30,k_1_d_31,k_2_d_0,k_2_d_1,k_2_d_2,k_2_d_3,k_2_d_4,k_2_d_5,k_2_d_6,k_2_d_7,k_2_d_8,k_2_d_9,k_2_d_10,k_2_d_11,k_2_d_12,k_2_d_13,k_2_d_14,k_2_d_15,k_2_d_16,k_2_d_17,k_2_d_18,k_2_d_19,k_2_d_20,k_2_d_21,k_2_d_22,k_2_d_23,k_2_d_24,k_2_d_25,k_2_d_26,k_2_d_27,k_2_d_28,k_2_d_29,k_2_d_30,k_2_d_31
0007__,757,482,67178,33.8113159,-84.5634145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0Zayaan0,49,496,511,33.57261,-84.41326,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100BMofATL,1408,80,375,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100BlackMenNM,462,60,740,33.7671944,-84.433106,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11AliveNews,349400,2657,247023,33.749,-84.38798,0,0,1,7,11,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,1,2,10,17,19,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12kyle,2474,1282,216782,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17-Nov,9196,6159,69574,33.749,-84.38798,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175mahlon,925,1348,1379,33.7671944,-84.433106,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18major,945,574,31842,33.749,-84.38798,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981meagan,1645,1699,11350,33.8901,-84.14297,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
